Label,Id,race_ethnicity,sexual_orientation
Sandra Bullock,Sandra Bullock,White,Straight
Sandy Dennis,Sandy Dennis,White,Bisexual
Sean Connery,Sean Connery,White,Straight
Sean Penn,Sean Penn,White,Straight
Sean Penn,Sean Penn,White,Straight
Sean Penn,Sean Penn,White,Straight
Sean Penn,Sean Penn,White,Straight
Shelley Winters,Shelley Winters,White,Straight
Shelley Winters,Shelley Winters,White,Straight
Shelley Winters,Shelley Winters,White,Straight
Shelley Winters,Shelley Winters,White,Straight
Shirley Booth,Shirley Booth,White,Straight
Shirley Jones,Shirley Jones,White,Straight
Shirley MacLaine,Shirley MacLaine,White,Straight
Sidney Poitier,Sidney Poitier,Black,Straight
Simone Signoret,Simone Signoret,White,Straight
Sissy Spacek,Sissy Spacek,White,Straight
Sophia Loren,Sophia Loren,White,Straight
Spencer Tracy,Spencer Tracy,White,Straight
Spencer Tracy,Spencer Tracy,White,Straight
Spencer Tracy,Spencer Tracy,White,Straight
Spencer Tracy,Spencer Tracy,White,Straight
Steven Soderbergh,Steven Soderbergh,White,Straight
Steven Spielberg,Steven Spielberg,White,Straight
Steven Spielberg,Steven Spielberg,White,Straight
Steven Spielberg,Steven Spielberg,White,Straight
Steven Spielberg,Steven Spielberg,White,Straight
Susan Hayward,Susan Hayward,White,Straight
